transaction_id,date,year,month,publisher,game_name,base_price,discount_percent,sale_price,quantity,total_revenue
TXN0000030,2022-01-02,2022,1,Tecmo Koei,Dynasty Warriors,6.09,20,4.87,2,9.74
TXN0000031,2022-01-03,2022,1,Rockstar Games,Grand Theft Auto: San Andreas,17.22,20,13.78,1,13.78
TXN0000032,2022-01-03,2022,1,Unknown,Contraption Maker,24.23,30,16.96,1,16.96
TXN0000033,2022-01-03,2022,1,Atlus,Lufia: The Ruins of Lore,5.44,0,5.44,1,5.44
TXN0000034,2022-01-03,2022,1,Magical Company,'98 Koshien,8.55,25,6.41,1,6.41
TXN0000035,2022-01-03,2022,1,Ubisoft,Just Dance 3,9.75,0,9.75,1,9.75
TXN0000036,2022-01-03,2022,1,Sega,San Goku Shi Taisen Ten,8.27,15,7.03,1,7.03
TXN0000037,2022-01-03,2022,1,Square Enix,Dragon Quest X,12.46,20,9.96,1,9.96
TXN0000038,2022-01-03,2022,1,Viva Media,GT Legends,15.80,20,12.64,1,12.64
TXN0000039,2022-01-03,2022,1,Global Star Software,Outlaw Volleyball Remixed,5.35,40,3.21,1,3.21
TXN0000040,2022-01-03,2022,1,Fox Interactive,NHL Championship 2000,6.78,0,6.78,1,6.78
TXN0000041,2022-01-03,2022,1,PQube,White Day: A Labyrinth Named School (2017),11.00,15,9.35,1,9.35
TXN0000042,2022-01-03,2022,1,Bethesda Softworks,Pirates of the Caribbean: The Legend of Jack Sparrow,9.91,25,7.43,1,7.43
TXN0000043,2022-01-03,2022,1,Electronic Arts,Dragon Age: Inquisition,19.20,30,13.44,1,13.44
TXN0000044,2022-01-03,2022,1,Zoo Digital Publishing,Puzzle Kingdoms,17.30,25,12.97,1,12.97
TXN0000045,2022-01-03,2022,1,Electronic Arts,The Sims: Bustin' Out,6.43,0,6.43,1,6.43
TXN0000046,2022-01-04,2022,1,Sega,NHL 2K3,18.58,30,13.01,2,26.01
TXN0000047,2022-01-04,2022,1,Sega,Virtua Fighter Kids,9.79,0,9.79,1,9.79
TXN0000048,2022-01-04,2022,1,Nintendo,4 Nin uchi Mahjong,11.41,15,9.70,1,9.70
TXN0000049,2022-01-04,2022,1,Myelin Media,Stacked with Daniel Negreanu,12.11,10,10.90,2,21.80
TXN0000050,2022-01-04,2022,1,KOEI,Gitaroo Man,18.62,0,18.62,1,18.62
TXN0000051,2022-01-04,2022,1,Activision,Skylanders SWAP Force,18.45,25,13.84,1,13.84
TXN0000052,2022-01-04,2022,1,System Soft,"Sengoku Hime 2 Honoo: Hyakubana, Senran Tatsukaze no Gotoku",13.85,15,11.78,1,11.78
TXN0000053,2022-01-04,2022,1,Atari,Big Air Freestyle,13.56,0,13.56,1,13.56
TXN0000054,2022-01-04,2022,1,Konami,NeverDead,6.79,40,4.07,1,4.07
TXN0000055,2022-01-05,2022,1,Electronic Arts,Ty the Tasmanian Tiger,8.70,0,8.70,1,8.70
TXN0000056,2022-01-05,2022,1,Idea Factory,Hakuoki: Shinkai - Furi no Shou,11.97,25,8.98,1,8.98
TXN0000057,2022-01-05,2022,1,Ubisoft,Tom Clancy's Splinter Cell,16.58,10,14.92,1,14.92
TXN0000058,2022-01-05,2022,1,Unknown,The Bridge,10.37,10,9.33,1,9.33
TXN0000059,2022-01-05,2022,1,Namco Bandai,Active Life Explorer,7.91,30,5.54,1,5.54
TXN0000060,2022-01-05,2022,1,NIS America,Cross Edge,14.04,20,11.23,1,11.23
TXN0000061,2022-01-05,2022,1,Konami,Gradius V,7.19,15,6.11,1,6.11
TXN0000062,2022-01-06,2022,1,Nintendo,Detective Pikachu,18.14,20,14.51,1,14.51
TXN0000063,2022-01-06,2022,1,Electronic Arts,Need for Speed: ProStreet,7.25,25,5.43,1,5.43
TXN0000064,2022-01-06,2022,1,GarageGames,Gish,15.48,20,12.39,1,12.39
TXN0000065,2022-01-06,2022,1,Nintendo,Xenoblade Chronicles,18.62,20,14.90,1,14.90
TXN0000066,2022-01-06,2022,1,Konami,ESPN International Winter Sports 2002,6.02,0,6.02,1,6.02
TXN0000067,2022-01-06,2022,1,Activision,DJ Hero,19.12,15,16.25,1,16.25
TXN0000068,2022-01-06,2022,1,"Arcen Games, LLC",AI War: Fleet Command,14.74,20,11.79,2,23.59
TXN0000069,2022-01-06,2022,1,Ubisoft,Disney's Tarzan Untamed,14.96,25,11.22,1,11.22
TXN0000070,2022-01-06,2022,1,Nintendo,Super Mario Bros. 3,7.42,0,7.42,1,7.42
TXN0000071,2022-01-06,2022,1,Tecmo Koei,Dead or Alive Xtreme 3: Venus,16.43,30,11.50,2,23.00
TXN0000072,2022-01-06,2022,1,Midway Games,NFL Blitz 2000,8.22,15,6.99,1,6.99
TXN0000073,2022-01-06,2022,1,Nintendo,Mario & Sonic at the Rio 2016 Olympic Games,6.77,20,5.42,2,10.84
TXN0000074,2022-01-06,2022,1,Acclaim Entertainment,Mortal Kombat,21.42,40,12.85,1,12.85
TXN0000075,2022-01-06,2022,1,Electronic Arts,Command & Conquer 3: Deluxe Edition,20.08,0,20.08,1,20.08
TXN0000076,2022-01-07,2022,1,Electronic Arts,FIFA 19,16.48,30,11.53,1,11.53
TXN0000077,2022-01-07,2022,1,Electronic Arts,Hasbro Family Game Night,11.58,10,10.43,1,10.43
TXN0000078,2022-01-07,2022,1,Take-Two Interactive,WWE 2K16,21.74,20,17.39,3,52.17
TXN0000079,2022-01-07,2022,1,D3Publisher,Tiger & Bunny: Hero's Day,18.61,20,14.89,1,14.89
TXN0000080,2022-01-07,2022,1,GungHo Online Entertainment,R??publique,15.17,10,13.65,1,13.65
TXN0000081,2022-01-07,2022,1,Scholastic Inc.,Goosebumps HorrorLand,10.52,20,8.42,1,8.42
TXN0000082,2022-01-07,2022,1,Double Fine Productions,Mountain,11.30,30,7.91,2,15.82
TXN0000083,2022-01-07,2022,1,Ubisoft,Rabbids Invasion: The Interactive TV Show,24.27,0,24.27,1,24.27
TXN0000084,2022-01-07,2022,1,5pb,Muv-Luv Alternative: Total Eclipse,12.47,0,12.47,1,12.47
TXN0000085,2022-01-07,2022,1,Agetec,Crossroad Crisis,13.10,15,11.14,1,11.14
TXN0000086,2022-01-08,2022,1,Electronic Arts,Need for Speed: Nitro,5.28,25,3.96,1,3.96
TXN0000087,2022-01-08,2022,1,Nintendo,Excitebike 64,18.64,20,14.91,1,14.91
TXN0000088,2022-01-08,2022,1,Nintendo,Tetris Attack,6.71,20,5.37,1,5.37
TXN0000089,2022-01-08,2022,1,Electronic Arts,Need for Speed: Hot Pursuit,21.72,10,19.55,1,19.55
TXN0000090,2022-01-08,2022,1,Nintendo,Dr. Mario,8.61,25,6.46,1,6.46
TXN0000091,2022-01-08,2022,1,Electronic Arts,The Sims 4: Spa Day,24.86,0,24.86,1,24.86
TXN0000092,2022-01-08,2022,1,Sony Computer Entertainment,Ratchet & Clank: Size Matters,9.95,0,9.95,1,9.95
TXN0000093,2022-01-08,2022,1,Nintendo,Sushi Striker: The Way of Sushido,10.22,30,7.15,1,7.15
TXN0000094,2022-01-08,2022,1,2K Games,Motocross Mania 3,18.16,0,18.16,1,18.16
TXN0000095,2022-01-08,2022,1,Global Star Software,Conflict: Vietnam,10.97,20,8.78,1,8.78
TXN0000096,2022-01-08,2022,1,Rockstar Games,Grand Theft Auto: Vice City Stories,18.89,20,15.11,1,15.11
TXN0000097,2022-01-08,2022,1,Majesco,Nancy Drew: The Deadly Secret of Olde World Park,6.34,0,6.34,1,6.34
TXN0000098,2022-01-08,2022,1,Sony Computer Entertainment,Bleach: Soul Carnival,8.85,30,6.19,1,6.19
TXN0000099,2022-01-08,2022,1,Nintendo,Pokken Tournament,13.06,10,11.75,1,11.75
TXN0000100,2022-01-08,2022,1,City Interactive,Sniper: Ghost Warrior,11.96,15,10.17,1,10.17
TXN0000101,2022-01-08,2022,1,Disney Interactive Studios,Club Penguin: Game Day!,16.30,0,16.30,1,16.30
TXN0000102,2022-01-08,2022,1,Crave Entertainment,The Oregon Trail,5.41,20,4.33,2,8.65
TXN0000103,2022-01-09,2022,1,Ubisoft,Assassin's Creed III,18.98,0,18.98,1,18.98
TXN0000104,2022-01-09,2022,1,Activision,Call of Duty: Black Ops IIII,21.21,25,15.91,1,15.91
TXN0000105,2022-01-09,2022,1,Disney Interactive Studios,G-Force,11.47,20,9.18,1,9.18
TXN0000106,2022-01-09,2022,1,Disney Interactive Studios,Cars 2,13.49,30,9.44,1,9.44
TXN0000107,2022-01-09,2022,1,ASCII Entertainment,Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima,5.17,30,3.62,1,3.62
TXN0000108,2022-01-09,2022,1,Interplay,ClayFighter 63 1/3,18.22,0,18.22,1,18.22
TXN0000109,2022-01-09,2022,1,Zoo Games,Dream Dance & Cheer,6.04,0,6.04,1,6.04
TXN0000110,2022-01-09,2022,1,Atari,Dragon Ball Z: Supersonic Warriors 2,11.75,0,11.75,2,23.49
TXN0000111,2022-01-09,2022,1,Ubisoft,Call of Juarez: The Cartel,11.22,10,10.09,1,10.09
TXN0000112,2022-01-09,2022,1,THQ,MotoGP,6.84,40,4.11,1,4.11
TXN0000113,2022-01-09,2022,1,Codemasters,TOCA Race Driver 2: Ultimate Racing Simulator & Colin McRae Rally 04,8.53,0,8.53,2,17.05
TXN0000114,2022-01-09,2022,1,Nintendo,Pokken Tournament,13.06,25,9.79,1,9.79
TXN0000115,2022-01-09,2022,1,Namco,Mr. Driller: Drill Spirits,8.29,0,8.29,1,8.29
TXN0000116,2022-01-09,2022,1,Nintendo,Golden Sun,10.03,20,8.02,1,8.02
TXN0000117,2022-01-09,2022,1,Atlus,Shin Megami Tensei: Persona 2: Innocent Sin,12.58,30,8.80,1,8.80
TXN0000118,2022-01-09,2022,1,Titus,Superman: The New Superman Adventures,5.54,25,4.15,1,4.15
TXN0000119,2022-01-09,2022,1,2K Games,Borderlands: Game of the Year Edition,15.72,30,11.00,1,11.00
TXN0000120,2022-01-09,2022,1,Sega,Mystery Dungeon: Shiren the Wanderer,14.62,0,14.62,2,29.23
TXN0000121,2022-01-09,2022,1,Atlus,Trauma Center: Under the Knife 2,18.93,15,16.09,1,16.09
TXN0000122,2022-01-10,2022,1,Sega,Sonic Mega Collection Plus,16.55,25,12.42,1,12.42
TXN0000123,2022-01-10,2022,1,Nintendo,Golden Sun: The Lost Age,18.00,20,14.40,3,43.19
TXN0000124,2022-01-10,2022,1,Licensed 4U,Natalie Brooks: Mystery at Hillcrest High,17.75,20,14.20,1,14.20
TXN0000125,2022-01-10,2022,1,Electronic Arts,EA Sports Active 2,11.81,20,9.44,1,9.44
TXN0000126,2022-01-10,2022,1,Electronic Arts,Medal of Honor Heroes 2,5.46,20,4.37,3,13.11
TXN0000127,2022-01-10,2022,1,MTO,Option Tuning Car Battle,12.22,30,8.56,1,8.56
TXN0000128,2022-01-10,2022,1,Ubisoft,Battle of Giants: Dinosaurs Strike,6.81,15,5.79,1,5.79
TXN0000129,2022-01-10,2022,1,Ubisoft,Tom Clancy's Rainbow Six 3: Black Arrow,15.98,15,13.58,1,13.58
TXN0000130,2022-01-10,2022,1,DSI Games,Millipede / Super Breakout / Lunar Lander,9.48,40,5.69,1,5.69
TXN0000131,2022-01-10,2022,1,Ubisoft,OK! Puzzle Stars,8.97,25,6.73,2,13.45
TXN0000132,2022-01-10,2022,1,Namco Bandai,Namco Museum: Virtual Arcade,12.25,15,10.41,1,10.41
TXN0000133,2022-01-10,2022,1,Sega,Shining Resonance,5.27,0,5.27,2,10.54
TXN0000134,2022-01-11,2022,1,Capcom,Sally's Salon,15.33,0,15.33,3,46.00
TXN0000135,2022-01-11,2022,1,THQ,The Granstream Saga,8.16,15,6.93,1,6.93
TXN0000136,2022-01-11,2022,1,Majesco,Monster Trucks / Quad Desert Fury Double Value!,19.28,0,19.28,1,19.28
TXN0000137,2022-01-11,2022,1,Electronic Arts,Def Jam: Fight for NY,9.63,0,9.63,1,9.63
TXN0000138,2022-01-11,2022,1,Gathering of Developers,Vietcong,25.43,0,25.43,1,25.43
TXN0000139,2022-01-11,2022,1,Sony Computer Entertainment,BUZZ! Quiz World,6.18,20,4.95,1,4.95
TXN0000140,2022-01-11,2022,1,Sony Computer Entertainment,MLB 07: The Show,11.96,40,7.17,1,7.17
TXN0000141,2022-01-11,2022,1,Sega,Sega Superstars Tennis,5.30,25,3.98,1,3.98
TXN0000142,2022-01-11,2022,1,Sony Interactive Entertainment,Until Dawn: Rush of Blood,28.73,30,20.11,1,20.11
TXN0000143,2022-01-11,2022,1,2K Sports,NBA 2K10,29.42,10,26.48,1,26.48
TXN0000144,2022-01-11,2022,1,Sega,Alpha Protocol,19.37,25,14.52,2,29.05
TXN0000145,2022-01-11,2022,1,Sony Computer Entertainment,Jampack Vol. 1,7.66,0,7.66,1,7.66
TXN0000146,2022-01-11,2022,1,Namco Bandai,Super Sentai Battle: Ranger Cross,9.56,15,8.13,1,8.13
TXN0000147,2022-01-11,2022,1,Nintendo,Donkey Kong Country,8.15,0,8.15,1,8.15
TXN0000148,2022-01-12,2022,1,Atari,Fishdom,11.71,0,11.71,4,46.84
TXN0000149,2022-01-12,2022,1,iWin,Jewel Quest IV: Heritage,17.06,0,17.06,1,17.06
TXN0000150,2022-01-12,2022,1,Sony Computer Entertainment,Uncharted: The Nathan Drake Collection,26.41,0,26.41,1,26.41
TXN0000151,2022-01-12,2022,1,Activision,Cabela's Trophy Bucks,8.71,0,8.71,3,26.14
TXN0000152,2022-01-12,2022,1,Sony Computer Entertainment,NBA 07,14.19,30,9.93,1,9.93
TXN0000153,2022-01-12,2022,1,Compile Heart,Hyperdimension Neptunia Victory,6.76,0,6.76,1,6.76
TXN0000154,2022-01-12,2022,1,Tecmo Koei,Samurai Warriors Chronicles,9.52,0,9.52,1,9.52
TXN0000155,2022-01-12,2022,1,Xseed Games,Valhalla Knights,14.91,0,14.91,1,14.91
TXN0000156,2022-01-12,2022,1,Those Awesome Guys,Monster Prom,11.10,0,11.10,1,11.10
TXN0000157,2022-01-12,2022,1,Konami,Yu-Gi-Oh! GX: Tag Force 2,13.23,20,10.58,1,10.58
TXN0000158,2022-01-12,2022,1,Sony Computer Entertainment,Carnival Island,17.31,20,13.85,1,13.85
TXN0000159,2022-01-12,2022,1,Hudson Soft,Momotarou Dentetsu 15,9.07,0,9.07,1,9.07
TXN0000160,2022-01-12,2022,1,Nordic Games,MX vs. ATV Supercross,16.64,30,11.65,1,11.65
TXN0000161,2022-01-12,2022,1,Nintendo,Eternal Darkness: Sanity's Requiem,5.87,25,4.40,1,4.40
TXN0000162,2022-01-12,2022,1,Electronic Arts,Bulletstorm,17.16,0,17.16,1,17.16
TXN0000163,2022-01-12,2022,1,Konami,Metal Gear Solid: Peace Walker,10.57,20,8.45,1,8.45
TXN0000164,2022-01-12,2022,1,Square,Tobal 2,16.48,30,11.53,1,11.53
TXN0000165,2022-01-12,2022,1,Activision,Lemony Snicket's A Series of Unfortunate Events,17.06,0,17.06,4,68.24
TXN0000166,2022-01-12,2022,1,Majesco,Thomas & Friends: Hero of the Rails,8.05,30,5.63,1,5.63
TXN0000167,2022-01-12,2022,1,Acclaim Entertainment,NFL Quarterback Club 2002,5.57,25,4.18,1,4.18
TXN0000168,2022-01-12,2022,1,Refract Studios,Distance,26.84,0,26.84,2,53.68
TXN0000169,2022-01-12,2022,1,Ubisoft,MotionSports: Adrenaline,11.29,10,10.16,1,10.16
TXN0000170,2022-01-12,2022,1,Eidos Interactive,Project: Snowblind,10.06,40,6.04,1,6.04
TXN0000171,2022-01-13,2022,1,Giants Software,Ski Region Simulator 2012,17.18,50,8.59,1,8.59
TXN0000172,2022-01-13,2022,1,Ubisoft,Prince of Persia: Warrior Within,7.58,20,6.06,1,6.06
TXN0000173,2022-01-13,2022,1,Nintendo,Tetris Attack,19.48,0,19.48,1,19.48
TXN0000174,2022-01-13,2022,1,Titus,Carmageddon 64,11.84,20,9.47,1,9.47
TXN0000175,2022-01-13,2022,1,Unknown,Worms: Ultimate Mayhem,12.73,25,9.55,1,9.55
TXN0000176,2022-01-13,2022,1,Sega,Phantasy Star Online Episode I & II,13.62,0,13.62,1,13.62
TXN0000177,2022-01-13,2022,1,Hackberry,Pachitte Chonmage Tatsujin 10: Pachinko Fuyu no Sonata,7.69,15,6.54,1,6.54
TXN0000178,2022-01-13,2022,1,Biart Design Studio,Depth Hunter 2: Deep Dive,24.03,25,18.02,1,18.02
TXN0000179,2022-01-13,2022,1,Red Orb,Riven: The Sequel to Myst,17.85,20,14.28,1,14.28
TXN0000180,2022-01-13,2022,1,Electronic Arts,Mirror's Edge Catalyst,20.64,20,16.51,1,16.51
TXN0000181,2022-01-13,2022,1,Benesse,Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,5.62,25,4.21,2,8.43
TXN0000182,2022-01-13,2022,1,EA Sports,Madden NFL 2000,6.02,30,4.21,1,4.21
TXN0000183,2022-01-13,2022,1,Sony Computer Entertainment,NFL GameDay 2003,16.07,0,16.07,1,16.07
TXN0000184,2022-01-13,2022,1,Eidos Interactive,LEGO Star Wars: The Video Game,6.96,30,4.87,1,4.87
TXN0000185,2022-01-14,2022,1,Warner Bros. Interactive Entertainment,Mortal Kombat Komplete Edition,22.41,25,16.81,1,16.81
TXN0000186,2022-01-14,2022,1,Activision,Madagascar: Escape 2 Africa,15.37,20,12.29,3,36.88
TXN0000187,2022-01-14,2022,1,MTO,Ochaken no Daibouken 2: Yume Ippai no Omocha Hako,6.35,20,5.08,1,5.08
TXN0000188,2022-01-14,2022,1,SNK,SVC Chaos: SNK vs. Capcom,16.96,15,14.41,3,43.24
TXN0000189,2022-01-14,2022,1,Electronic Arts,The Sims Deluxe,29.30,15,24.90,1,24.90
TXN0000190,2022-01-14,2022,1,Activision,ZhuZhu Pets: Featuring The Wild Bunch,11.05,30,7.74,1,7.74
TXN0000191,2022-01-14,2022,1,Ubisoft,Driver '76,18.40,25,13.80,2,27.61
TXN0000192,2022-01-14,2022,1,BAM! Entertainment,"Ed, Edd n Eddy: Jawbreakers!",17.05,10,15.34,1,15.34
TXN0000193,2022-01-15,2022,1,Sony Computer Entertainment,Tomba! 2: The Evil Swine Return,13.19,20,10.55,1,10.55
TXN0000194,2022-01-15,2022,1,Activision,Cabela's Big Game Hunter: Hunting Party,15.43,15,13.11,1,13.11
TXN0000195,2022-01-15,2022,1,Sega,Jambo! Safari Animal Rescue,18.31,15,15.57,1,15.57
TXN0000196,2022-01-15,2022,1,Idea Factory,Otometeki Koi Kakumei * Love Revo! Portable,10.38,30,7.27,1,7.27
TXN0000197,2022-01-15,2022,1,Namco,Seven: Molmorth no Kiheitai,14.98,0,14.98,1,14.98
TXN0000198,2022-01-15,2022,1,Bandai,Gundam Battle Online,7.05,0,7.05,1,7.05
TXN0000199,2022-01-15,2022,1,Rockstar Games,Manhunt 2,16.16,0,16.16,1,16.16
TXN0000200,2022-01-15,2022,1,PlayV,Mind Your Language: Learn English! / French! / German! / Spanish! /Japanese!,18.74,25,14.05,2,28.11
TXN0000201,2022-01-15,2022,1,Konami,Metal Gear Solid,9.90,25,7.42,1,7.42
TXN0000202,2022-01-15,2022,1,Electronic Arts,Star Wars Battlefront II (2017),20.08,25,15.06,1,15.06
TXN0000203,2022-01-15,2022,1,Ubisoft,Imagine: My Restaurant,6.35,25,4.76,1,4.76
TXN0000204,2022-01-15,2022,1,Activision,Call of Duty: WWII,29.01,10,26.11,1,26.11
TXN0000205,2022-01-15,2022,1,EA Sports,FIFA Soccer 64,14.80,0,14.80,1,14.80
TXN0000206,2022-01-15,2022,1,THQ,Jet Grind Radio,11.75,0,11.75,1,11.75
TXN0000207,2022-01-15,2022,1,Capcom,DmC Devil May Cry,12.23,30,8.56,1,8.56
TXN0000208,2022-01-15,2022,1,Sega,JSRF: Jet Set Radio Future,8.47,20,6.78,1,6.78
TXN0000209,2022-01-15,2022,1,Hot-B,Graffiti Kingdom,18.31,0,18.31,1,18.31
TXN0000210,2022-01-15,2022,1,THQ,Cars: Race-O-Rama,5.31,0,5.31,1,5.31
TXN0000211,2022-01-15,2022,1,Nintendo,Big Brain Academy: Wii Degree,7.17,30,5.02,1,5.02
TXN0000212,2022-01-16,2022,1,Bethesda Softworks,Wolfenstein: The New Order,16.44,15,13.97,1,13.97
TXN0000213,2022-01-16,2022,1,Storm City Games,Chevrolet Camaro: Wild Ride,7.76,0,7.76,1,7.76
TXN0000214,2022-01-16,2022,1,"Destination Software, Inc",Shining Stars,19.29,0,19.29,1,19.29
TXN0000215,2022-01-16,2022,1,LucasArts,Star Wars Episode III: Revenge of the Sith,9.01,20,7.21,1,7.21
TXN0000216,2022-01-16,2022,1,Ubisoft,The Mighty Quest for Epic Loot,27.87,10,25.08,1,25.08
TXN0000217,2022-01-16,2022,1,KOEI,Dynasty Warriors 3: Xtreme Legends,12.98,0,12.98,1,12.98
TXN0000218,2022-01-16,2022,1,Sega,Charlotte's Web,16.24,25,12.18,1,12.18
TXN0000219,2022-01-16,2022,1,Capcom,Street Fighter Alpha: Warriors' Dreams,19.41,20,15.53,1,15.53
TXN0000220,2022-01-16,2022,1,Wired Productions,Just Deal With It,21.40,25,16.05,1,16.05
TXN0000221,2022-01-16,2022,1,Konami Digital Entertainment,Killzone 2: DLC Bundle Pack,12.13,20,9.70,1,9.70
TXN0000222,2022-01-17,2022,1,Namco Bandai,One Piece Unlimited Cruise 2: Awakening of a Hero,6.98,0,6.98,1,6.98
TXN0000223,2022-01-17,2022,1,O3 Entertainment,Konductra,17.93,25,13.44,1,13.44
TXN0000224,2022-01-17,2022,1,Namco,Yuu Yuu Hakusho,19.21,0,19.21,1,19.21
TXN0000225,2022-01-17,2022,1,Sony Computer Entertainment,Princess Maker: Yumemiru Yosei,5.17,25,3.87,1,3.87
TXN0000226,2022-01-17,2022,1,Capcom,Steel Battalion: Line of Contact,17.94,10,16.15,1,16.15
TXN0000227,2022-01-17,2022,1,2K Sports,NBA 2K13,11.60,0,11.60,2,23.21
TXN0000228,2022-01-17,2022,1,Nordic Games,Legend of Kay Anniversary,14.54,20,11.63,1,11.63
TXN0000229,2022-01-17,2022,1,Revolution Software,Broken Sword 5: The Serpent's Curse,17.81,40,10.69,1,10.69
TXN0000230,2022-01-17,2022,1,FCI,SimEarth: The Living Planet,12.13,50,6.06,1,6.06
TXN0000231,2022-01-17,2022,1,Activision,Ice Age: Dawn of the Dinosaurs,9.43,20,7.55,1,7.55
TXN0000232,2022-01-17,2022,1,Capcom,Disney's Chip 'n Dale: Rescue Rangers,10.70,10,9.63,3,28.90
TXN0000233,2022-01-17,2022,1,Ubisoft,Just Sing,18.26,15,15.52,1,15.52
TXN0000234,2022-01-17,2022,1,Konami,Yu-Gi-Oh! 5D's Tag Force 4,5.89,25,4.42,1,4.42
TXN0000235,2022-01-17,2022,1,EA Sports,NCAA March Madness 2004,19.85,25,14.89,1,14.89
TXN0000236,2022-01-18,2022,1,Sega,Virtua Fighter CG Portrait Series Vol.1: Sarah Bryant,19.39,10,17.45,1,17.45
TXN0000237,2022-01-18,2022,1,Electronic Arts,FIFA 19,14.39,50,7.19,1,7.19
TXN0000238,2022-01-18,2022,1,Natsume,Harvest Moon: Back to Nature,17.62,0,17.62,2,35.24
TXN0000239,2022-01-18,2022,1,Sony Computer Entertainment,SingStar Latino,5.97,0,5.97,1,5.97
TXN0000240,2022-01-18,2022,1,Ubisoft,Prince of Persia Trilogy,18.50,20,14.80,1,14.80
TXN0000241,2022-01-18,2022,1,Kemco,Batman: Dark Tomorrow,18.71,20,14.97,1,14.97
TXN0000242,2022-01-18,2022,1,THQ,Back At The Barnyard: Slop Bucket Games,9.53,0,9.53,1,9.53
TXN0000243,2022-01-18,2022,1,Electronic Arts,Littlest Pet Shop: Jungle,14.44,0,14.44,1,14.44
TXN0000244,2022-01-18,2022,1,Konami Digital Entertainment,Pro Yakyuu Spirits 2014,5.22,20,4.18,1,4.18
TXN0000245,2022-01-18,2022,1,Sega,Virtua Fighter CG Portrait Series Vol.4: Pai Chan,9.86,50,4.93,1,4.93
TXN0000246,2022-01-18,2022,1,Activision,Ghostbusters,15.33,0,15.33,1,15.33
TXN0000247,2022-01-18,2022,1,Activision,Call of Duty: Modern Warfare Remastered,27.64,20,22.11,1,22.11
